district,racetype,incumbent,incumbent_party,incumbent_retiring,hete_democrat,hete_republican,democrat_1,democrat_1_probability,democrat_2,democrat_2_probability,democrat_3,democrat_3_probability,democrat_4,democrat_4_probability,democrat_5,democrat_5_probability,democrat_6,democrat_6_probability,republican_1,republican_1_probability,republican_2,republican_2_probability,republican_3,republican_3_probability,republican_4,republican_4_probability,republican_5,republican_5_probability,republican_6,republican_6_probability,independent_1,independent_2,independent_3,independent_4
CT_005,house,Democrat Jahana Hayes,D,,Democrat Jahana Hayes,Republican George Logan,A Democratic Candidate,0.2,Democrat Jahana Hayes,0.8,,,,,,,,,A Republican Candidate,0.8,Republican George Logan,0.2,,,,,,,,,,,,
DE_001,house,Democrat Lisa Blunt Rochester,D,,Democrat Lisa Blunt Rochester,Republican Lee Murphy,A Democratic Candidate,0.2,Democrat Lisa Blunt Rochester,0.8,,,,,,,,,A Republican Candidate,0.8,Republican Lee Murphy,0.2,,,,,,,,,,,,
FL_001,house,Republican Matt Gaetz,R,,Democrat Rebekah Jones,Republican Matt Gaetz,A Democratic Candidate,0.8,Democrat Rebekah Jones,0.2,,,,,,,,,A Republican Candidate,0.2,Republican Matt Gaetz,0.6,Republican Bryan Jones,0.2,,,,,,,,,,
FL_002,house,Republican Neal Dunn,R,,Democrat Al Lawson,Republican Neal Dunn,A Democratic Candidate,0.5,Democrat Al Lawson,0.5,,,,,,,,,A Republican Candidate,0.2,Republican Neal Dunn,0.8,,,,,,,,,,,,
FL_003,house,Republican Kat Cammack,R,,Democrat Danielle Hawk,Republican Kat Cammack,A Democratic Candidate,0.8,Democrat Danielle Hawk,0.2,,,,,,,,,A Republican Candidate,0.2,Republican Kat Cammack,0.8,,,,,,,,,,,,
FL_004,house,,,,Democrat Al Lawson,Republican Erick Aguilar,A Democratic Candidate,1,Democrat Al Lawson,0,,,,,,,,,A Republican Candidate,0.8,Republican Erick Aguilar,0.2,,,,,,,,,,,,
FL_005,house,Republican John Rutherford,R,,Democrat Al Robertson,Republican John Rutherford,A Democratic Candidate,0.8,Democrat Al Robertson,0.2,,,,,,,,,A Republican Candidate,0.2,Republican John Rutherford,0.8,,,,,,,,,,,,
FL_006,house,Republican Michael Waltz,R,,Democrat Richard Thripp,Republican Michael Waltz,A Democratic Candidate,0.8,Democrat Richard Thripp,0.2,,,,,,,,,A Republican Candidate,0.2,Republican Michael Waltz,0.8,,,,,,,,,,,,
FL_007,house,Democrat Stephanie Murphy,D,1,Democrat Emily Bonilla,Republican Cory Mills,A Democratic Candidate,0.4,Democrat Emily Bonilla,0.2,Democrat Chris King,0.2,Democrat Carlos Guillermo Smith,0.2,,,,,A Republican Candidate,0.3,Republican Cory Mills,0.3,Republican Erika Benfield,0.1,Republican Anthony Sabatini,0.1,Republican Scott Sturgill,0.1,Republican Mac McGovern,0.1,,,,
FL_008,house,Republican Bill Posey,R,,Democrat Joanne Terry,Republican Bill Posey,A Democratic Candidate,0.8,Democrat Joanne Terry,0.2,,,,,,,,,A Republican Candidate,0.2,Republican Bill Posey,0.8,,,,,,,,,,,,
FL_009,house,Democrat Darren Soto,D,,Democrat Darren Soto,Republican William Olson,A Democratic Candidate,0.2,Democrat Darren Soto,0.8,,,,,,,,,A Republican Candidate,0.8,Republican William Olson,0.2,,,,,,,,,,,,
FL_010,house,Democrat Val Demings,D,1,Democrat Randolph Bracy,Republican Willie Montague,A Democratic Candidate,0.4,Democrat Randolph Bracy,0.2,Democrat Aramis Ayala,0.2,Democrat Natalie Jackson,0.1,Democrat Terence Gray,0.1,,,A Republican Candidate,0.8,Republican Willie Montague,0.2,,,,,,,,,,,,
FL_011,house,Republican Daniel Webster,R,,Democrat Dana Cottrell,Republican Daniel Webster,A Democratic Candidate,1,Democrat Dana Cottrell,0,,,,,,,,,A Republican Candidate,0.2,Republican Daniel Webster,0.75,Republican Laura Loomer,0.05,,,,,,,,,,
FL_012,house,Republican Gus Bilirakis,R,,Democrat Kimberly Walker,Republican Gus Bilirakis,A Democratic Candidate,0.8,Democrat Kimberly Walker,0.2,,,,,,,,,A Republican Candidate,0.2,Republican Gus Bilirakis,0.8,,,,,,,,,,,,
FL_013,house,Democrat Charlie Crist,D,1,Democrat Ben Diamond,Republican Anna Paulina Luna,A Democratic Candidate,0.55,Democrat Ben Diamond,0.15,Democrat Eric Lynn,0.15,Democrat Michele Rayner,0.15,,,,,A Republican Candidate,0.3,Republican Anna Paulina Luna,0.4,Republican Amanda Makki,0.1,Republican Audrey Henson,0.1,Republican Kevin Hayslett,0.1,,,,,,
FL_014,house,Democrat Kathy Castor,D,,Democrat Kathy Castor,Republican Jay Collins,A Democratic Candidate,0.2,Democrat Kathy Castor,0.8,,,,,,,,,A Republican Candidate,0.8,Republican Jay Collins,0.2,,,,,,,,,,,,
FL_015,house,,,,Democrat Al Lawson,Republican Jon Chuba,A Democratic Candidate,1,Democrat Al Lawson,0,,,,,,,,,A Republican Candidate,1,Republican Jon Chuba,0,,,,,,,,,,,,
FL_016,house,Republican Vern Buchanan,R,,Democrat Jan Schneider,Republican Vern Buchanan,A Democratic Candidate,0.8,Democrat Jan Schneider,0.2,,,,,,,,,A Republican Candidate,0.2,Republican Vern Buchanan,0.8,,,,,,,,,,,,
FL_017,house,Republican W. Steube,R,,Democrat Dan Lambert,Republican W. Steube,A Democratic Candidate,0.8,Democrat Dan Lambert,0.2,,,,,,,,,A Republican Candidate,0.2,Republican W. Steube,0.8,,,,,,,,,,,,
FL_018,house,Republican C. Franklin,R,,Democrat Alan Cohn,Republican C. Franklin,A Democratic Candidate,0.7,Democrat Alan Cohn,0.3,,,,,,,,,A Republican Candidate,0.2,Republican C. Franklin,0.8,,,,,,,,,,,,
FL_019,house,Republican Byron Donalds,R,,Democrat Cindy Banyai,Republican Byron Donalds,A Democratic Candidate,0.8,Democrat Cindy Banyai,0.2,,,,,,,,,A Republican Candidate,0.2,Republican Byron Donalds,0.8,,,,,,,,,,,,
FL_020,house,,,,Democrat Sheila Cherfilus-McCormick,Republican Greg Musselwhite,A Democratic Candidate,0.2,Democrat Sheila Cherfilus-McCormick,0.6,Democrat Dale Holness,0.2,,,,,,,A Republican Candidate,0.8,Republican Greg Musselwhite,0.2,,,,,,,,,,,,
FL_021,house,Republican Brian Mast,R,,Democrat Corinna Balderramos,Republican Brian Mast,A Democratic Candidate,0.8,Democrat Corinna Balderramos,0.2,,,,,,,,,A Republican Candidate,0.2,Republican Brian Mast,0.8,,,,,,,,,,,,
FL_022,house,Democrat Lois Frankel,D,,Democrat Lois Frankel,Republican Daniel Franzese,A Democratic Candidate,0.2,Democrat Lois Frankel,0.8,,,,,,,,,A Republican Candidate,0.8,Republican Daniel Franzese,0.2,,,,,,,,,,,,
FL_023,house,Democrat Ted Deutch,D,1,Democrat Jared Moskowitz,Republican Chip LaMarca,A Democratic Candidate,0.2,Democrat Jared Moskowitz,0.5,Democrat Gary Farmer,0.1,Democrat Mark Bogen,0.1,Democrat Dean Trantalis,0.1,,,A Republican Candidate,0.8,Republican Chip LaMarca,0.2,,,,,,,,,,,,
FL_024,house,Democrat Frederica Wilson,D,,Democrat Frederica Wilson,Republican Lavern Spicer,A Democratic Candidate,0.2,Democrat Frederica Wilson,0.8,,,,,,,,,A Republican Candidate,0.8,Republican Lavern Spicer,0.2,,,,,,,,,,,,
FL_025,house,Democrat Debbie Wasserman Schultz,D,,Democrat Debbie Wasserman Schultz,Republican Carla Spalding,A Democratic Candidate,0.2,Democrat Debbie Wasserman Schultz,0.8,,,,,,,,,A Republican Candidate,0.8,Republican Carla Spalding,0.2,,,,,,,,,,,,
FL_026,house,Republican Mario Diaz-Balart,R,,Democrat Adam Gentle,Republican Mario Diaz-Balart,A Democratic Candidate,0.8,Democrat Adam Gentle,0.2,,,,,,,,,A Republican Candidate,0.2,Republican Mario Diaz-Balart,0.8,,,,,,,,,,,,
FL_027,house,Republican Maria Salazar,R,,Democrat Donna Shalala,Republican Maria Salazar,A Democratic Candidate,0.6,Democrat Donna Shalala,0.3,Democrat Nick Duran,0.1,,,,,,,A Republican Candidate,0.2,Republican Maria Salazar,0.8,,,,,,,,,,,,
FL_028,house,Republican Carlos Gimenez,R,,Democrat Debbie Murcarsel-Powell,Republican Carlos Gimenez,A Democratic Candidate,1,Democrat Debbie Murcarsel-Powell,0,,,,,,,,,A Republican Candidate,0.2,Republican Carlos Gimenez,0.8,,,,,,,,,,,,
GA_001,house,Republican Buddy Carter,R,,Democrat Wade Herring,Republican Buddy Carter,A Democratic Candidate,0.4,Democrat Wade Herring,0.3,Democrat Joyce Griggs,0.3,,,,,,,A Republican Candidate,0,Republican Buddy Carter,1,,,,,,,,,,,,
GA_002,house,Democrat Sanford Bishop,D,,Democrat Sanford Bishop,Republican Jeremy Hunt,A Democratic Candidate,0,Democrat Sanford Bishop,1,,,,,,,,,A Republican Candidate,0.3,Republican Jeremy Hunt,0.35,Republican Chris West,0.35,,,,,,,,,,
GA_003,house,Republican A. Ferguson,R,,Democrat Valbrun Almonord,Republican A. Ferguson,A Democratic Candidate,0,Democrat Valbrun Almonord,1,,,,,,,,,A Republican Candidate,0,Republican A. Ferguson,1,,,,,,,,,,,,
GA_004,house,Democrat Hank Johnson,D,,Democrat Hank Johnson,Republican Jonathan Chavez,A Democratic Candidate,0,Democrat Hank Johnson,1,,,,,,,,,A Republican Candidate,0,Republican Jonathan Chavez,1,,,,,,,,,,,,
GA_005,house,Democrat Nikema Williams,D,,Democrat Nikema Williams,Republican Christian Zimm,A Democratic Candidate,0,Democrat Nikema Williams,1,,,,,,,,,A Republican Candidate,0,Republican Christian Zimm,1,,,,,,,,,,,,
GA_006,house,Democrat Lucy McBath,D,,Democrat Bob Christian,Republican Jake Evans,A Democratic Candidate,0,Democrat Bob Christian,1,,,,,,,,,A Republican Candidate,0.1,Republican Jake Evans,0.45,Republican Rich McCormick,0.45,,,,,,,,,,
GA_007,house,Democrat Carolyn Bourdeaux,D,,Democrat Lucy McBath,Republican Michael Corbin,A Democratic Candidate,0,Democrat Lucy McBath,1,,,,,,,,,A Republican Candidate,0.1,Republican Michael Corbin,0.45,Republican Mark Gonsalves,0.45,,,,,,,,,,
GA_008,house,Republican Austin Scott,R,,Democrat Darrius Butler,Republican Austin Scott,A Democratic Candidate,0,Democrat Darrius Butler,1,,,,,,,,,A Republican Candidate,0,Republican Austin Scott,1,,,,,,,,,,,,
GA_009,house,Republican Andrew Clyde,R,,Democrat Mike Ford,Republican Andrew Clyde,A Democratic Candidate,0,Democrat Mike Ford,1,,,,,,,,,A Republican Candidate,0,Republican Andrew Clyde,1,,,,,,,,,,,,
GA_010,house,Republican Jody Hice,R,1,Democrat Tabitha Johnson-Green,Republican Mike Collins,A Democratic Candidate,0,Democrat Tabitha Johnson-Green,1,,,,,,,,,A Republican Candidate,0.1,Republican Mike Collins,0.45,Republican Vernon Jones,0.45,,,,,,,,,,
GA_011,house,Republican Barry Loudermilk,R,,Democrat Antonio Daza,Republican Barry Loudermilk,A Democratic Candidate,0,Democrat Antonio Daza,1,,,,,,,,,A Republican Candidate,0,Republican Barry Loudermilk,1,,,,,,,,,,,,
GA_012,house,Republican Rick Allen,R,,Democrat Liz Johnson,Republican Rick Allen,A Democratic Candidate,0,Democrat Liz Johnson,1,,,,,,,,,A Republican Candidate,0,Republican Rick Allen,1,,,,,,,,,,,,
GA_013,house,Democrat David Scott,D,,Democrat David Scott,Republican Caesar Gonzales,A Democratic Candidate,0,Democrat David Scott,1,,,,,,,,,A Republican Candidate,0,Republican Caesar Gonzales,1,,,,,,,,,,,,
GA_014,house,Republican Marjorie Greene,R,,Democrat Marcus Flowers,Republican Marjorie Greene,A Democratic Candidate,0,Democrat Marcus Flowers,1,,,,,,,,,A Republican Candidate,0,Republican Marjorie Greene,1,,,,,,,,,,,,
HI_001,house,Democrat Ed Case,D,,Democrat Ed Case,Republican Ron Curtis,A Democratic Candidate,0.2,Democrat Ed Case,0.8,,,,,,,,,A Republican Candidate,1,Republican Ron Curtis,0,,,,,,,,,,,,
HI_002,house,Democrat Kaialiʻi Kahele,D,1,Democrat Jill Tokuda,Republican Conrad Kress,A Democratic Candidate,0.5,Democrat Jill Tokuda,0.5,,,,,,,,,A Republican Candidate,0.8,Republican Conrad Kress,0.2,,,,,,,,,,,,
IA_001,house,Republican Mariannette Miller-Meeks,R,,Democrat Christina Bohannan,Republican Mariannette Miller-Meeks,A Democratic Candidate,0,Democrat Christina Bohannan,1,,,,,,,,,A Republican Candidate,0,Republican Mariannette Miller-Meeks,1,,,,,,,,,,,,
IA_002,house,Republican Ashley Hinson,R,,Democrat Liz Mathis,Republican Ashley Hinson,A Democratic Candidate,0,Democrat Liz Mathis,1,,,,,,,,,A Republican Candidate,0,Republican Ashley Hinson,1,,,,,,,,,,,,
IA_003,house,Democrat Cynthia Axne,D,,Democrat Cynthia Axne,Republican Zach Nunn,A Democratic Candidate,0,Democrat Cynthia Axne,1,,,,,,,,,A Republican Candidate,0,Republican Zach Nunn,1,,,,,,,,,,,,
IA_004,house,Republican Randy Feenstra,R,,Democrat Ryan Melton,Republican Randy Feenstra,A Democratic Candidate,0,Democrat Ryan Melton,1,,,,,,,,,A Republican Candidate,0,Republican Randy Feenstra,1,,,,,,,,,,,,
ID_001,house,Republican Russ Fulcher,R,,Democrat Kaylee Peterson,Republican Russ Fulcher,A Democratic Candidate,0,Democrat Kaylee Peterson,1,,,,,,,,,A Republican Candidate,0,Republican Russ Fulcher,1,,,,,,,,,,,,
ID_002,house,Republican Mike Simpson,R,,Democrat Wendy Norman,Republican Mike Simpson,A Democratic Candidate,0,Democrat Wendy Norman,1,,,,,,,,,A Republican Candidate,0,Republican Mike Simpson,1,,,,,,,,,,,,
IL_001,house,Democrat Bobby Rush,D,1,Democrat Pat Dowell,Republican Geno Young,A Democratic Candidate,0.1,Democrat Pat Dowell,0.2,Democrat Elgie Sims,0.2,Democrat Marcus Evans,0.1,Democrat Jacqueline Collins,0.2,Democrat Karin Norington-Reaves,0.2,A Republican Candidate,0.8,Republican Geno Young,0.2,,,,,,,,,,,,
IL_002,house,Democrat Robin Kelly,D,,Democrat Robin Kelly,Republican Ashley Ramos,A Democratic Candidate,0.2,Democrat Robin Kelly,0.8,,,,,,,,,A Republican Candidate,0.8,Republican Ashley Ramos,0.2,,,,,,,,,,,,
IL_003,house,Democrat Marie Newman,D,,Democrat Delia Ramirez,Republican Justin Burau,A Democratic Candidate,0.2,Democrat Dan Lipinski,0.2,Democrat Delia Ramirez,0.3,Democrat Gilbert Villegas,0.3,,,,,A Republican Candidate,0.8,Republican Justin Burau,0.2,,,,,,,,,,,,
IL_004,house,Democrat Chuy García,D,,Democrat Chuy García,Republican Jesus Solorio,A Democratic Candidate,0.2,Democrat Chuy García,0.8,,,,,,,,,A Republican Candidate,1,Republican Jesus Solorio,0,,,,,,,,,,,,
IL_005,house,Democrat Mike Quigley,D,,Democrat Mike Quigley,Republican Malgorzata McGonigal,A Democratic Candidate,0.2,Democrat Mike Quigley,0.8,,,,,,,,,A Republican Candidate,0.8,Republican Malgorzata McGonigal,0.2,,,,,,,,,,,,
IL_006,house,Democrat Sean Casten,D,,Democrat Sean Casten,Republican Keith Pekau,A Democratic Candidate,0.2,Democrat Sean Casten,0.5,Democrat Marie Newman,0.3,,,,,,,A Republican Candidate,0.6,Republican Keith Pekau,0.2,Republican Gary Grasso,0.2,,,,,,,,,,
IL_007,house,Democrat Danny Davis,D,,Democrat Danny Davis,Republican Craig Cameron,A Democratic Candidate,0.2,Democrat Danny Davis,0.75,Democrat Kina Collins,0.05,,,,,,,A Republican Candidate,1,Republican Craig Cameron,0,,,,,,,,,,,,
IL_008,house,Democrat Raja Krishnamoorthi,D,,Democrat Raja Krishnamoorthi,Republican Peter Kopsaftis,A Democratic Candidate,0.2,Democrat Raja Krishnamoorthi,0.8,,,,,,,,,A Republican Candidate,0.8,Republican Peter Kopsaftis,0.2,,,,,,,,,,,,
IL_009,house,Democrat Jan Schakowsky,D,,Democrat Jan Schakowsky,Republican Bradley Martin,A Democratic Candidate,0.2,Democrat Jan Schakowsky,0.8,,,,,,,,,A Republican Candidate,0.8,Republican Bradley Martin,0.2,,,,,,,,,,,,
IL_010,house,Democrat Brad Schneider,D,,Democrat Brad Schneider,Republican Joseph Severino,A Democratic Candidate,0.2,Democrat Brad Schneider,0.8,,,,,,,,,A Republican Candidate,0.8,Republican Joseph Severino,0.2,,,,,,,,,,,,
IL_011,house,Democrat Bill Foster,D,,Democrat Bill Foster,Republican Catalina Lauf,A Democratic Candidate,0.2,Democrat Bill Foster,0.8,,,,,,,,,A Republican Candidate,0.8,Republican Catalina Lauf,0.2,,,,,,,,,,,,
IL_012,house,Republican Mike Bost,R,,Democrat Keith Richardson,Republican Mike Bost,A Democratic Candidate,0.8,Democrat Keith Richardson,0.2,,,,,,,,,A Republican Candidate,0.2,Republican Mike Bost,0.8,,,,,,,,,,,,
IL_013,house,Republican Adam Kinzinger,R,1,Democrat Nikki Budzinski,Republican Jesse Reising,A Democratic Candidate,0.2,Democrat David Palmer,0.2,Democrat Nikki Budzinski,0.6,,,,,,,A Republican Candidate,0.6,Republican Jesse Reising,0.2,Republican Regan Deering,0.2,,,,,,,,,,
IL_014,house,Democrat Lauren Underwood,D,,Democrat Lauren Underwood,Republican Michael Koolidge,A Democratic Candidate,0.2,Democrat Lauren Underwood,0.8,,,,,,,,,A Republican Candidate,0.8,Republican Michael Koolidge,0.2,,,,,,,,,,,,
IL_015,house,Republican Mary Miller,R,,Democrat Erika Weaver,Republican Mary Miller,A Democratic Candidate,1,Democrat Erika Weaver,0,,,,,,,,,A Republican Candidate,0.2,Republican Mary Miller,0.4,Republican Rodney Davis,0.4,,,,,,,,,,
IL_016,house,Republican Darin LaHood,R,,Democrat George Petrilli,Republican Darin LaHood,A Democratic Candidate,1,Democrat George Petrilli,0,,,,,,,,,A Republican Candidate,0.2,Republican Darin LaHood,0.8,,,,,,,,,,,,
IL_017,house,Democrat Cheri Bustos,D,1,Democrat Beth Jensen,Republican Esther Joy King,A Democratic Candidate,0.2,Democrat Beth Jensen,0.2,Democrat Maurice West,0.15,Democrat Linda McNeely,0.15,Democrat Eric Sorensen,0.15,Democrat Litesa Wallace,0.15,A Republican Candidate,0.6,Republican Esther Joy King,0.3,Republican Terry Schilling,0.1,,,,,,,,,,
IN_001,house,Democrat Frank Mrvan,D,,Democrat Frank Mrvan,Republican Jennifer-Ruth Green,A Democratic Candidate,0,Democrat Frank Mrvan,1,,,,,,,,,A Republican Candidate,0,Republican Jennifer-Ruth Green,1,,,,,,,,,,,,
IN_002,house,Republican Jackie Walorski,R,,Democrat Paul Steury,Republican Jackie Walorski,A Democratic Candidate,0,Democrat Paul Steury,1,,,,,,,,,A Republican Candidate,0,Republican Jackie Walorski,1,,,,,,,,,,,,
IN_003,house,Republican Jim Banks,R,,Democrat Gary Snyder,Republican Jim Banks,A Democratic Candidate,0,Democrat Gary Snyder,1,,,,,,,,,A Republican Candidate,0,Republican Jim Banks,1,,,,,,,,,,,,
IN_004,house,Republican James Baird,R,,Democrat Roger Day,Republican James Baird,A Democratic Candidate,0,Democrat Roger Day,1,,,,,,,,,A Republican Candidate,0,Republican James Baird,1,,,,,,,,,,,,
IN_005,house,Republican Victoria Spartz,R,,Democrat Jeannine Lake,Republican Victoria Spartz,A Democratic Candidate,0,Democrat Jeannine Lake,1,,,,,,,,,A Republican Candidate,0,Republican Victoria Spartz,1,,,,,,,,,,,,
IN_006,house,Republican Greg Pence,R,,Democrat Cynthia Wirth,Republican Greg Pence,A Democratic Candidate,0,Democrat Cynthia Wirth,1,,,,,,,,,A Republican Candidate,0,Republican Greg Pence,1,,,,,,,,,,,,
IN_007,house,Democrat André Carson,D,,Democrat André Carson,Republican Angela Grabovsky,A Democratic Candidate,0,Democrat André Carson,1,,,,,,,,,A Republican Candidate,0,Republican Angela Grabovsky,1,,,,,,,,,,,,
IN_008,house,Republican Larry Bucshon,R,,Democrat Ray McCormick,Republican Larry Bucshon,A Democratic Candidate,0,Democrat Ray McCormick,1,,,,,,,,,A Republican Candidate,0,Republican Larry Bucshon,1,,,,,,,,,,,,
IN_009,house,Republican Trey Hollingsworth,R,1,Democrat Matthew Fyfe,Republican Erin Houchin,A Democratic Candidate,0,Democrat Matthew Fyfe,1,,,,,,,,,A Republican Candidate,0,Republican Erin Houchin,1,,,,,,,,,,,,
KS_001,house,Republican Tracey Mann,R,,Democrat Kali Barnett,Republican Tracey Mann,A Democratic Candidate,1,Democrat Kali Barnett,0,,,,,,,,,A Republican Candidate,0.2,Republican Tracey Mann,0.8,,,,,,,,,,,,
KS_002,house,Republican Jake LaTurner,R,,Democrat Patrick Schmidt,Republican Jake LaTurner,A Democratic Candidate,0.8,Democrat Patrick Schmidt,0.2,,,,,,,,,A Republican Candidate,0.2,Republican Jake LaTurner,0.8,,,,,,,,,,,,
KS_003,house,Democrat Sharice Davids,D,,Democrat Sharice Davids,Republican Amanda Adkins,A Democratic Candidate,0.2,Democrat Sharice Davids,0.8,,,,,,,,,A Republican Candidate,0.5,Republican Amanda Adkins,0.5,,,,,,,,,,,,
KS_004,house,Republican Ron Estes,R,,Democrat Laura Lombard,Republican Ron Estes,A Democratic Candidate,1,Democrat Laura Lombard,0,,,,,,,,,A Republican Candidate,0.2,Republican Ron Estes,0.8,,,,,,,,,,,,
KY_001,house,Republican James Comer,R,,Democrat Jimmy Ausbrooks,Republican James Comer,A Democratic Candidate,0,Democrat Jimmy Ausbrooks,1,,,,,,,,,A Republican Candidate,0,Republican James Comer,1,,,,,,,,,,,,
KY_002,house,Republican Brett Guthrie,R,,Democrat Hank Linderman,Republican Brett Guthrie,A Democratic Candidate,0,Democrat Hank Linderman,1,,,,,,,,,A Republican Candidate,0,Republican Brett Guthrie,1,,,,,,,,,,,,
KY_003,house,Democrat John Yarmuth,D,1,Democrat Morgan McGarvey,Republican Stuart Ray,A Democratic Candidate,0,Democrat Morgan McGarvey,1,,,,,,,,,A Republican Candidate,0.8,Republican Stuart Ray,0.2,,,,,,,,,,,,
KY_004,house,Republican Thomas Massie,R,,Democrat Matthew Lehman,Republican Thomas Massie,A Democratic Candidate,0,Democrat Matthew Lehman,1,,,,,,,,,A Republican Candidate,0,Republican Thomas Massie,1,,,,,,,,,,,,
KY_005,house,Republican Hal Rogers,R,,Democrat Conor Halbleib,Republican Hal Rogers,A Democratic Candidate,0,Democrat Conor Halbleib,1,,,,,,,,,A Republican Candidate,0,Republican Hal Rogers,1,,,,,,,,,,,,
